IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID
,Rijksbeschermd,,Ja,"7555",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,639.000000000000000
,Rijksbeschermd,,Ja,"7556",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,640.000000000000000
,Rijksbeschermd,,Ja,"9916",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,652.000000000000000
,Rijksbeschermd,,Ja,"9924",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,653.000000000000000
,Rijksbeschermd,,Ja,"9925",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,654.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"528762",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,655.000000000000000
,Rijksbeschermd,,Ja,"529139",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,656.000000000000000
,Rijksbeschermd,,Ja,"21396",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,124.000000000000000
,Rijksbeschermd,,Ja,"21398",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,125.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"21400",hallehuisgroep (hallehuis- middenlangsdeeltype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,126.000000000000000
,Rijksbeschermd,,Ja,"21402",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,127.000000000000000
,Rijksbeschermd,,Ja,"21404",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,128.000000000000000
,Rijksbeschermd,,Ja,"21406",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,129.000000000000000
,Rijksbeschermd,,Ja,"21518",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,130.000000000000000
,Rijksbeschermd,,Ja,"21520",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,131.000000000000000
,Rijksbeschermd,,Ja,"21522",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,132.000000000000000
,Rijksbeschermd,,Ja,"21524",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,133.000000000000000
,Rijksbeschermd,,Ja,"21525",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,134.000000000000000
,Rijksbeschermd,,Ja,"22215",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,135.000000000000000
,Rijksbeschermd,,Ja,"22216",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,136.000000000000000
,Rijksbeschermd,,Ja,"21527",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,142.000000000000000
,Rijksbeschermd,,Ja,"26273",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,145.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"26277",hallehuisgroep (saksische type),boerderijtypen,,landbouw,Gebouwd erfgoed,146.000000000000000
,Rijksbeschermd,,Ja,"26281",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,147.000000000000000
,Rijksbeschermd,,Ja,"26283",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,148.000000000000000
,Rijksbeschermd,,Ja,"26286",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,149.000000000000000
,Rijksbeschermd,,Ja,"26288",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,150.000000000000000
,Rijksbeschermd,,Ja,"26297",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,151.000000000000000
,Rijksbeschermd,,Ja,"28126",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,152.000000000000000
,Rijksbeschermd,,Ja,"28127",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,153.000000000000000
,Rijksbeschermd,,Ja,"28133",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,154.000000000000000
,Rijksbeschermd,,Ja,"28134",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,155.000000000000000
,Rijksbeschermd,,Ja,"28136",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,156.000000000000000
,Rijksbeschermd,,Ja,"28143",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,157.000000000000000
,Gemeentelijk monument,,Ja,ALM01025,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,661.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01078,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,662.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01080,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,663.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01081,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,664.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01090,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,665.000000000000000
,Gemeentelijk monument,,Ja,ALM01092,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,666.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01082,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,667.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01076,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,668.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01077,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,669.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ALM01093,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,670.000000000000000
,Gemeentelijk monument,,Ja,BOR01032,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,671.000000000000000
,Gemeentelijk monument,,Ja,BOR01033,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,672.000000000000000
,Gemeentelijk monument,,Ja,BOR01001,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,673.000000000000000
,Gemeentelijk monument,,Ja,DNK01031,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,686.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,DNK01017,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,687.000000000000000
,Rijksbeschermd,,Ja,"31746",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,190.000000000000000
,Rijksbeschermd,,Ja,"31748",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,191.000000000000000
,Rijksbeschermd,,Ja,"31752",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,192.000000000000000
,Rijksbeschermd,,Ja,"31767",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,193.000000000000000
,Rijksbeschermd,,Ja,"33022",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,199.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"333490",hallehuisgroep (twentstype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,200.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"34143",hallehuisgroep (saksische type),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,202.000000000000000
,Rijksbeschermd,,Ja,"34144",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,203.000000000000000
,Rijksbeschermd,,Ja,"34148",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,204.000000000000000
,Rijksbeschermd,,Ja,"34164",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,205.000000000000000
,Rijksbeschermd,,Ja,"34165",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,206.000000000000000
,Gemeentelijk monument,,Ja,ENS01004,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,704.000000000000000
,Gemeentelijk monument,,Ja,ENS01027,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,705.000000000000000
,Gemeentelijk monument,,Ja,ENS01029,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,706.000000000000000
,Gemeentelijk monument,,Ja,ENS01047,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,707.000000000000000
,Gemeentelijk monument,,Ja,ENS01005,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,708.000000000000000
,Gemeentelijk monument,,Ja,ENS01006,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,709.000000000000000
,Gemeentelijk monument,,Ja,ENS01014,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,710.000000000000000
,Gemeentelijk monument,,Ja,ENS01015,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,711.000000000000000
,Gemeentelijk monument,,Ja,ENS01023,onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,712.000000000000000
,Gemeentelijk monument,,Ja,ENS01085,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,713.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01071,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,714.000000000000000
,Gemeentelijk monument,,Ja,ENS01081,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,715.000000000000000
,Gemeentelijk monument,,Ja,ENS01234,onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,716.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01094,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,717.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01155,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,718.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,ENS01161,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,719.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01038,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,720.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01039,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,721.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01003,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,722.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01004,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,723.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01023,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,724.000000000000000
,Gemeentelijk monument,,Ja,HKB01006,onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,725.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01035,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,726.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01036,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,727.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01011,hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,728.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HKB01015,hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,729.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01068,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,756.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01069,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,757.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01047,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,758.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01049,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,759.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01023,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,760.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01028,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,761.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01022,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,762.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HGL01072,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,763.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01060,hallehuisgroep (hallehuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,764.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01061,hallehuisgroep (krukhuisboerderij),boerderijtypen,,landbouw,Gebouwd erfgoed,765.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Gemeentelijk monument,,Ja,HOF01001,hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,766.000000000000000
